project;plan
google_analytics_cookieless;"1.0+ is compatible with Drupal 9"
yunke_qrcode;"Support for Drupal 8 and Drupal 9"
advance_field_attributes;"This module also works with D9"
domain_fields_visualization;Processing...
propellerads;"Made the Drupal 8 version. Further will do the Drupal 9 version."
oh;"A Drupal 9 release will be made available in the near future."
og_message;"Fully compatible as of 8.x-1.1-rc1."
etracker;"Fully compatible as of 8.x-3.0-beta1."
deployment;"Upwards compatible with Drupal 9 starting with the 8.x-1.0.0 release."
userpoints_expire;"Ready for Drupal 9"
adnuntius;"The module is compatible with Drupal 9."
commerce_eurobank_redirect;"This module is Drupal 9 ready."
fontawesome_route_icons;"Drupal 9 ready"
bisnode;"Fully supported: [#3138097]"
yaml_sandbox;"Drupal 9 compatible."
site_per_path;"This module is ready for Drupal 9."
adsense_consent;"This module is compatible with Drupal 9 from version 1.0.0"
timesup;"Times'up is already ready for Drupal9"
sitemap_status;"Is Drupal 9 ready"
addtocal_augment;"This module was built to support Drupal 9. Please file an issue if you encounter any problems with Drupal 8!"
composer_dependency_tree;"This project is Drupal 9 compatible!"
rest_api_authentication;"<strong>The 8.x module is compatible with both Drupal 8 and Drupal 9</strong>"
whitelabel;"This module should be fully compatible with Drupal 9."
twig_backlink;"This module is Drupal 9 ready."
print_route;"This module must be compatible with Drupal 9."
toolbar_responsive_search;"Officially supports D9 as of the <a href=""https://www.drupal.org/project/toolbar_responsive_search/releases/8.x-1.0-alpha2"">8.x-1.0-alpha2</a> release."
sign_widget;"checked with Drupal 9 theme <a href=""https://www.drupal.org/project/bootstrap5_admin"">Bootstrap 5 admin</a>"
social_auth_bitbucket;"Drupal 9 compatible"
vbo_add_to_cart;"Work in progress for D9. it will be available very soon."
upload_image_changer;"Drupal 9 is supported!"
performance_budget;"This module supports Drupal 9. Work completed in [#3106206] and [#3071680]"
seaside_admin_toolbar;"This is module is Drupal 9 ready!"
s_r_c_html5_validation;"Select Radio Checkbox Field HTML 5 Validation is fully compatible with Drupal 9!"
qwebirc;"This module is compatible with Drupal 9"
search_api_meilisearch;"Working with Drupal 9 since the initial release."
entity_inherit;"<p>This project is certified Drupal 9 ready.</p>"
entity_link_template_condition;"Compatible with Drupal 9"
bulma_components;"Bulma Components is compatible with Drupal 9."
component_schema;"Component Schema is compatible with Drupal 9."
cjk_tokenizer;"It already works for D9"
ndb;"Netlify Deploy Button 8.x-1.0 supports Drupal 9."
log_entity_operations;"This module is fully ready for Drupal 9!"
node_form_templates;"8.x-1.1 is compatible with Drupal 9."
language_popup;"Module is available for Drupal 8 as well as Drupal 9, but there may some errors in Drupal 9. Please create issue in case any error found."
broadstreet_ads;"Drupal 8 and 9 are supported with the v2 releases."
facets_link_field_processors;"This module is ready for Drupal 9."
bootstrap_govbr;"Theme is compatible with Drupal 9"
norwegian_id;"The maintainer will trying to keep the module D9 ready from the launch day. Please report any issues and follow the D9 port in this issue: [#3091443]"
commerce_nz;"This project is D9 Ready."
commerce_giftcard;"Drupal 9 compatible"
migrate_destination_field_value;"Drupal 9 ready"
config_pages_overrides;"Currently up to date for Drupal 9"
colofilters;"D9 readiness issue [#3139919]  The issue is now committed, use the latest release tag."
cocoon_media;"This module was made ready to use with Drupal 9 on DrupalCon Amsterdam 2019! [#3075156]"
clear_field;"Clear Field Value version 8.x-1.1+ supports Drupal 9"
moderation_state_transitions_widget;"Initial release supports D8.9, D9 and hopefully D10."
owntracks;"OwnTracks is compatible with Drupal 9."
openweathermap;"The module is ready for Drupal 9."
imagecroper;"This module is fully compatible with Drupal 9!"
pagecss;"Will be ported to Drupal 9 by end of 2019."
hosted_solr;"Drupal 9 is fully supported."
auto_recommended_tags;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/auto_recommended_tags?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
behance_block;"This module is Drupal 9 ready."
freeagent;"This module is Drupal 9 compatible."
http_client_retry;"This module is Drupal 9 compatible."
sku_prefix_promotion_condition;"This module is compatible with Drupal 9 from version 2.0.0"
media_twig_tools;"Media Twig Tools supports Drupal 9"
description_list_field;"Ready for Drupal 9."
twofactor;"D9 ready"
consistent_breadcrumbs;"D9 ready."
inotherwords;"Avoiding deprecated functions, should be ready to go."
css_optimizer;"Drupal 9 Compatible"
trending_topics;"1.x is Drupal 9 compatible."
instagram_formatter;"This module is ready for Drupal 9"
cookies_services;"Drupal 9 is supported."
export_action_for_default_content;"Works with D8 and D9."
entity_recycle;"This module is Drupal 9 ready."
entity_collector;"8.x-1.0-alpha19+ is Drupal 9 compatible."
events_seats_field;"This module is developed with Drupal 8.8.1+"
libravatar;"This project is ready for Drupal 9"
songkick;"The module is Drupal 9 compatible"
drip_webform_handler;"D9 ready!"
helloworld_rest;[#3082519]
google_standout;"Google Standout Tag 8.x-1.x supports Drupal 9. Enjoy."
simple_tmgmt;"Is Drupal 9 compatible"
external_link_change;"External link change 8.x-1.x-dev supports Drupal 9. Enjoy."
szentirashu_formatter;"Module is ready for Drupal 9."
ezcontent_api;"Help port this project at [#3128795]"
social_hub;"The 2.x branch will be compatible"
cmrf_form_processor;"This module is Drupal 9 ready."
cloud;"<a href=""https://www.drupal.org/project/cloud/issues/3071859"" title=""Fix Drupal 9 code deprecation"">Issue #3071859: Drupal 9 code deprecation / readiness / compatibility</a>"
autoservices;"Compatible with Drupal 9"
archivesspace;"D9 support now available in 8.x-1.1-rc1."
aspect_ratio_validation;"Core compatibility: ^8.8 || ^9"
private_dns;"This module is written on Drupal 9"
view_mode_selector_field;"This module is fully compatible with Drupal 9."
workflows_mbv;"<strong>Workflows Moderation Basic View</strong> supports Drupal 9."
browser_refresh;"This project is ready for Drupal 9"
notify_me;"Is here"
bui_to_webp;"Compatible with Drupal 9"
bootstrap_pages;"This module currently has no known compatibility issues, and is aiming for a release together with Drupal 9."
bootstrap_extras;"This is a Drupal 9 Native module"
change_requests;"Requires Drupal core ^8 || ^9"
views_mark_current;"Already compatible with Drupal 9!"
webform_mattermost;"Compatible with Drupal 9."
oauth2_rs;"Drupal 9 porting issue #3196096"
cache_utility;"Cache Utility module works with Drupal 8 & 9."
bitfinex;"This module is made for Drupal 9."
bootstrap_block_italia;"The module is compatible with Drupal 9 thanks to the <a href=""https://www.drupal.org/project/bootstrap_block_italia/issues/3212617"">https://www.drupal.org/project/bootstrap_block_italia/issues/3212617</a>."
yunke_help;"Drupal 9 is Supported"
commerce_gocardless;[#3083960]
yunke_pay;"Supports Drupal V8 and V9"
commerce_payment_vismapay;"This module is compatible with Drupal 9.0.0"
commerce_stripe_ideal;"Drupal 9 supported by default on release of D8 version"
overseer;"This module is Drupal 9 ready."
projects_stats;"This module is Drupal 9 ready."
product_taxonomy_term_name_depth;"Drupal 9 is here"
commerce_yandex_kassa;"Ready to be used"
moderation_state_columns;"8.x-1.x-dev is Drupal 9 compatible."
unlock;"No known deprecations to address."
upgrade_tool;"We have Drupal 9 ready 2.0.0 + releases"
address_md;"This module is Drupal 9 ready."
moderation_state_sync;"8.x-1.x is Drupal 9 compatible."
file_details;"D9 Compatible"
field_label_long_text;"Ready to use for Drupal 9."
bim_gdpr;"bim-GDPR supports Drupal 9"
field_group_eu_cookie_compliance;"Drupal 9 ready"
api_docs;"Will be ported soon"
der_extra;"This module is Drupal 9 compatible."
id4me;"This module is Drupal 9 ready."
block_entity_form;"Drupal 9 READY."
adminrss;"Version 8.x-1.0 is compatible with Drupal 9.0"
authman_github;"Compatible with Drupal 8 / 9"
ezcontent_publish;"This module is Drupal9 ready."
group_purl;"This project is ready for Drupal 9!"
authman;"Fully compatible with Drupal 8 and 9"
gmessentials;"No porting it is required, this module it is very simple."
gitinfo;"Tested on Drupal 9 and confirmed to be fully functional."
auth_entity_access;"Fully supported as of 8.x-1.0-beta2."
service_comment_count;"The module is Drupal 9 compatible."
backfill_formatter;"Please use the issue queue to report issues."
danse_label_override;"This module should be good for Drupal 9 sites. I'll be testing that soon, but haven't gotten there yet."
commerce_custom_shipping_by_weight;"I plan on testing this with Drupal 9 before tagging a 1.0 version."
veracruz_content;"If realistic_dummy_content create a drupal 9 version. We will get a port to this module."
vbo_add_to_wishlist;"Currently, it is in active development phase. it will be available very soon for D9."
varbase_reports;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_reports?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Not ready yet for Drupal 9.</a></strong>"
custom_admin_menu;"Custom Admin Menu supports Drupal 9"
commerce_bpost;"The module is ready for Drupal 9."
theme_by_author;"Ready for Drupal 9 :-)"
theme_selector;"This project is Drupal 9 ready."
devel_snippet;"<a href=""https://www.drupal.org/project/devel_snippet/issues/3103474"">#3103474: Add new key core_version_requirement in devel_snippet.info.yml</a>"
thumbor_effects;"8.x-1.5+ is Drupal 9 compatible."
content_packager;"Drupal 9 is fully supported."
uc_payumoney;"It depended on <a href=""https://www.drupal.org/project/ubercart"" title=""UberCart"">UberCart</a> so we will wait till <a href=""https://www.drupal.org/project/ubercart"" title=""UberCart"">UberCart</a> release for Drupal 9"
confq_cfp;"Drupal 9 compatible."
config_tweak;"Config Tweak is Drupal 9 compatible."
concentration_game;"This module should work with D9. Not tested though."
contextly;"Our aim is to maintain the 8.x branch without any deprecated code, so that it is usable with Drupal 9 without any issues."
twig_n2w;"This module also works on Drupal9."
commerce_store_gateways;"Drupal 9 compatible."
entity_ref_filtering_link;"Drupal 9 Compatible"
cakephpass;"Compatible since 8.x-1.2 release"
campaign_kit;"Can be used on Drupal 9 today but requires some patches for contributed modules that we have submitted to the module maintainers. Once those patches are merged into the modules, CK can be used on Drupal 9 without the extra bother."
substr_formatter;"No user intervention required."
entity_fallback_value;"This module fully supports Drupal 9"
exposed_filter_data;"<h3>Drupal 8/9</h3> Development is currently under way for the Drupal 8/9 port that will provide similar functionality as the Drupal 7 module. However, rather than a PHP function, the Drupal 8/9 version will provide a block that can be placed anywhere, including the header of a view. You can follow along with the development, ask questions, or contribute in <a href=""https://www.drupal.org/project/issues/exposed_filter_data?text=&status=All&priorities=All&categories=All&version=8.x&component=All"">the issue queue</a>."
views_numeric_range_filter;"Compatible with Drupal 9"
buttons_config;"This module is already fully compatible with Drupal 9."
epositivity;"This module is compatible with D9 https://www.drupal.org/project/epositivity/issues/3152171"
entity_visibility_preview;"The module is compatible with Drupal 9 starting from version 8.x-1.4."
tellstick;"Beta2 has been tested with <a href=""https://www.drupal.org/project/upgrade_status"" title=""Upgrade Status"">Upgrade Status</a> for Drupal 9."
taxonomy_preferences;"This module is already fully compatible with Drupal 9"
drupalorg_links;"Fully supported as of v8.x-1.1."
cloudflare_image_style;"This is compatible with D9."
viewportchecker;"8.x-1.4+ is Drupal 9 compatible."
do_username;"The latest 8.x-1.x release is compatible with Drupal 9."
domain_route_redirect;"This module should in principle work with D9 but it has not been tested yet."
colorbox_entity_display;"This module should be compatible with both Drupal 8 and 9, but has not been tested on Drupal 9 yet."
ckeditor_csvtable;"This module is Drupal 9 ready."
change_labels;"Drupal 9 ready"
entity_collector_downloader;"8.x-1.0-alpha13+ is Drupal 9 compatible."
synvisio;"Drupal 9 version of SynVisio module not planned yet."
editor_images_ext;"This module is ready for Drupal 9."
jsonapi_flysystem_uploader;"Fully supported as of v8.x-1.1."
onehub;"Drupal 9 is fully supported since version 8.x-1.0-beta1."
lwm;"* Fully compatible with Drupal 9"
lucidworksfusion;"This module has been coded to be compliant with Drupal 9."
mpr;"Multi Peer Review has not been tested on Drupal 9 at the time of writing."
link_augment;"This module was built in Drupal 9. Please open an issue if you encounter any problems with Drupal 8 compatibility."
next_views_entity_reference;"Works with Drupal 9"
lb_default_blocks;"Drupal 9 support out of the gate 🎠"
personified;"This module is Drupal 9 compatible."
notify_to_slack;"Send Notification to Slack 8.x-2.0 support Drupal 9."
rel_attributes_filter;"This module is already fully compatible with Drupal 9"
revue;"Revue >= 8.x-1.1 is Drupal 9 compatible."
php_runtime_memory;"Drupal 9 compatibility"
processing;"Postponed pending investigation of p5.js compatibility."
l10n_tools;"This module works with Drupal 9 :)"
permalink_block;"Tested in Drupal 9 and confirmed to be fully functional."
media_fotoweb;"The module is Drupal 9 compatible."
vertical_image_scrolling;NA
commerce_exchanger_cryptocompare;"The code of this project is Drupal 9 ready!"
commerce_dellin;"As soon as Drupal Commerce Shipping will be ready."
cron_timing;"<a href=""https://www.drupal.org/project/cron_timing/releases/1.0.0"">1.0.0</a> is Drupal 9 compatible."
crownpeak_autofix;"Supports Drupal 9"
tribute_cards;"This module works with Drupal 9."
modifiers_vanta;"This module is Drupal 9 compatible."
varbase_commerce;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_commerce?issue_tags=Drupal+9+compatibility"">Not ready yet for Drupal 9.</a></strong>"
commerce_paykings;"<h2>Drupal 9 Compatibility</h2> The Paykings Payment Gateway is safe to be installed on the D9 project."
projects_browser;"This project supports Drupal 9"
commerce_paybox_payment;"Drupal 9 full supported"
tugboat;"This is released in 8.x-4.0-alpha1"
commerce_feefo;"This module should work with Drupal 9, but has not been tested."
vartheme_bs5;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/vartheme_bs5?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
commerce_findock;"Drupal 9 compatible."
commerceg_product_group;"The module is written directly on Drupal 9."
crawlers_cache_context;"This module is currently fully compatible with Drupal 9"
createcontentwithcategory;"Built for Drupal 9 and 8.8+"
city_weather_field;"This module will support Drupal 9."
views_exposed_groups;"Help port this project to Drupal 8.8 or greater at [#3154672]"
ckeditor_dynamic_link;"CKEditor Dynamic Link supports Drupal 9"
color_thief;"🎉This module was developed in Drupal 9 so should have no compatibility issues"
mpbx;"<em><strong>Available for Drupal 9!</strong></em>"
video_embed_vidme;"Video Embed Vidme 8.x-1.1+ supports Drupal 9. Enjoy."
presspatron;"Fully supported as of 8.x-1.0-beta1."
coder;"Coder does not need to be ported to Drupal 9 since it applies to all Drupal versions."
cs_adaptive_image;[#3140131]
qb_chantilly;"Currently, we have no plans to port this theme to Drupal 9"
congruency;"This module is currently only used with D9."
configurable_theme_libraries;"8.x-1.2+ is Drupal 9 compatible."
ui_patterns_blocks;"D9 compatible."
pwa_firebase;"It will port to drupal 9 very soon"
ukstyle;Ready
content_remote_options;"Compatible with D9"
convert_entity_media_embed;"This module is Drupal 9 compatible."
content_moderation_menu;"Under review"
uc_edit_order_attributes;"No current plan, but we just got this one done!"
contactmap;[#3125089]
metals_api;"The version 9.x release of the Metals API module has been tested and is ready to go. I'll tag the 9.x release on the day Drupal 9 lands."
commerce_rng;"Help port this project at [#3126897]"
commerce_redsys_payment;"D9 tested"
prototype_select;"Works with Drupal 9"
user_guide;"This project is not a module, and does not need to be ported to Drupal 9."
commerce_peach;"There is no Drupal 9 version as of yet."
protected_routes;"Not ready but planned."
commerce_wallee;"This module is Drupal 9 ready."
commerce_xero;"Should be compatible"
pubble_field;"Fully supported as of 8.x-1.0-beta2."
county;"This module is compatible with Drupal 9."
migrate_parse_textile;"Supports Drupal 8 or 9"
commerce_tax_exemption;"This module will work with Drupal 9 out of the box."
usajobs;"This module is ready for Drupal 9."
wordscramble;"This module works with D9."
api_response_check;"8.x-1.0 is Drupal 9 compatible."
arrival_message;"Drupal 9 compatible."
asana;"This module is ready for Drupal 9."
api_redoc_document;"Ported to D9"
paydirectfpx;"<ol>  <li>Read more about this module at https://www.betterpay.me</li>  <li>If you got any problem, feel free to contact us at support@betterpay.me</li>  </ol>"
xatkit;"Drupal 9 compatible."
payeer;"This module has been updated to work with the store on Drupal 9."
anonymous_timezone;"Fully Drupal 9 compatible."
autoupdate;"This module is Drupal 9 ready."
perfectmoney;"This module has been updated to work with the store on Drupal 9."
webtest;"<strong>Drupal 9 ready</strong>"
auto_config_form;"Designed for D9+."
back_office_access_restriction;"This module is ready for Drupal 9."
authman_google;"Compatible with Drupal 8 / 9"
authman_twitch;"Compatible with Drupal 8 / 9"
authman_microsoft;"Compatible with Drupal 8 / 9"
youtrack;"This project is ready for Drupal 9"
address_lu;"This module is Drupal 9 ready."
page_themes;"This module is ready for Drupal 9."
zotero_citeproc_js;"Developed for 9. Should work on ^8.8, too."
accessibility_filter;"Drupal 9 compatible"
oswald;"We plan to build this D8 and D9 safe"
orange_starter;"Drupal 9 ready!"
all_entity_preview;"Compatible with Drupal 9."
all;"This module was written for Drupal 9 and is also compatible with Drupal 8."
admin_user_path;"This module is compatible with Drupal 9."
advance_script_manager;"This is completely supported in Drupal9"
agls;"Fully supported as of 8.x-1.0."
aframe_extra;"D9 ready - But aframe main module (dependency) is not ready!"
package_field;"Drupal 9 compatible."
bulk_invite;"This module is Drupal 9 ready: [#3070762]"
pixelsize;READY!
bulk_update_title_node;"This module supports Drupal 9."
places_near_by;"Drupal 9 is here"
virustotal;"Module versions from <strong>8.x-1.2+</strong> are Drupal Core <strong>8.8.*+</strong> compatible Module versions till <strong>8.x-1.1</strong> are compatible with Drupal Core <strong>8.5 - 8.7</strong> <strong>Releases:</strong> https://www.drupal.org/project/virustotal/releases"
browser_development;"Works with Drupal 8 and 9"
chat_nodejs;"This module is ready for Drupal 9."
checklist_security;"This module is ready for D9"
views_filter_select;"D9 ready"
oai_pmh_harvester;"Works on D9."
personalized_paragraphs;"This module has not yet been tested on Drupal 9"
personalization_by_terms;"Works for Drupal 9."
og_nonmember_editor;"Fully compatible as of 8.x-1.0-rc4."
webform_sf_demanager;"Compatible since alpha2."
bankid_oidc;"Built to support Drupal 8 and Drupal 9"
bible_companion;"This module is working fully in Drupal 9"
bee_hotel;"BEE_HOTEL runs fine on Drupal 9"
official_docs;"The 9.0.x branch is up-to-date for Drupal 9+"
node_visibility;"It should work on Drupal 9, but I haven't tested."
phpinsights;[#3086288]
vspfo;"This module is ready for Drupal 9."
vright;"Fully ported to Drupal 9"
brickset_connect;"Branch 2.0.x should be D9 compatible."
webdev;"<strong>Ready for Drupal 9.</strong>"
keyvalue_filestore;"Nothing in this module is D8 specific. It should work fine in D9."
flysystem_azure;"This works with Drupal 9 out of the box."
focusedentityreference;"This module is Drupal 9 compatible."
keyboard_shortcuts;"D9 ready"
site_version_host;"Compatible with Drupal 9"
sitewide_msg;"No Drupal 8/9 version is expected, we kindly asking you to point your attention to the similar module <a href=""https://www.drupal.org/project/site_alert"">Site Alert</a> and to consolidate efforts over there."
fontawesome_icon;"Use this project instead: <a href=""https://www.drupal.org/project/fontawesome"" title=""Font Awesome Icon"">Font Awesome Icon</a>."
filefield_to_mediafield;"Drupal 9 compatible and tested."
file_update;"Ported to D9."
slack_rtm;"Drupal 9 is fully supported since version 8.x-1.0-alpha6."
kiyoh_rating;"D9 Ready"
fills;"We will do a drupal 9 port of it when bootstrap barrio create a drupal 9 version."
simple_sitemap_auth;"Drupal 9 ready"
g2_reviews;"Drupal 9 ready."
g2;"Testable dev version in the 8.x-1.x branch."
frshcrm;"Drupal 9"
sis;"8.x-1.0-alpha2+ is Drupal 9 compatible."
jwt_block;"Works in Drupal 9"
rollback;"No known issues with Drupal 9"
forum_field;"Works, build with Drupal 9."
farmos_wfs;"Complete. farmOS 2.x (Drupal 9) releases can be found on <a href=""https://packagist.org/packages/symbioquine/farmos_wfs"">Packagist</a> and are installable via Composer."
feeds_dm;"Currently supported on Drupal 9.x"
extended_container;"This project will be ported to Drupal 9 soon."
ez_drupalsettings;"I believe it works with Drupal 9 but may need some syntactical clean-up."
extlog;"This module <a href=""https://www.drupal.org/project/extlog/releases/8.x-1.4"">8.x-1.4</a> release is already fully compatible with Drupal 9!"
risk;"This module is Drupal 9 ready."
lametric;"Drupal 9 is fully supported!"
landbot;"This project supports Drupal 9."
smart_db_tools;"Compatible with Drupal 9."
robolytix;"Working well on Drupal 9."
landing_page_scheduler;"This module is already fully compatible with Drupal 9"
language_negotiation_matrix;<h3></h3>
fieldable_panels_panes;"Will be supported in the 1.0.x as a migration path to core blocks."
smsru;"Ready to port in any time, no deperaction usage, will be ported as soon as possible."
smssystem;"Used on several projects but need more review."
exportable_controllers;"Developed with Drupal 9."
service_comment_count_disqus;"The module is Drupal 9 compatible."
interface_views_sort;"Drupal9 is here"
search_adds;"Tested and working on Drupal 9"
image_moderate;"Dev.-Version from June 8th 2020  and later are Drupal 9 compatible!"
search_api_attachments_php;"This module was developed in D9."
imotilux;[#3147806]
section_protection;"This module will be ported to Drupal 9 but has not currently been tested against Drupal 9.  For work related to this see this: <a href=""https://www.drupal.org/project/section_protection/issues/3207871"">[issue]</a>"
inpagenav;"Developed and maintained to be used in both Drupal 8 and Drupal 9."
image_canvas_editor_api;"This module has no known issues with Drupal 9."
search_api_tracking;"D9 ready"
git_version;"Compatible with Drupal 8 and 9"
gophish;"Porting this project to Drupal 9 is currently on the roadmap."
simplenews_decoupled;"The code of this project is Drupal 9 ready!"
simplenews_content_selection;[3097387]
simplenews_subscriber_filters;"written on Drupal 9."
rules_session_vars;"Supports 8.x and 9.x core."
jsnlog;"Version 1.1 is tested against Drupal 9.1."
georef_ar;"Drupal 9 compatible!"
gsuite;"Built with D9 in mind!"
shifting_layout_blocks;"The module is Drupal 9 compatible."
grouped_checkboxes;"Drupal 9 support out of the gate 🎠"
graph_mail;"Module developed for Drupal 9 and from PHP 7.3 to PHP 8. Should also work on Drupal 8 without problems."
graphql_extras;"Is Drupal 9 compatible."
text_attributes;"The module is compatible with Drupal 9."
testpro;"Will support in Drupal 9 as well"
domain_exception;"In progress in development"
dfinance;"Development will switch from Drupal 8 to Drupal 9 on release, first full release of Drupal Finance expected to be a Drupal 9 release."
thumbor_effects_crop;"8.x-1.0+ is Drupal 9 compatible."
development_assistant;"Drupal 9 ready"
dhtml_menu;[3091317]
differential_serve;"This module is compatible with Drupal 9."
taxonomy_move;"Compatible with Drupal 9; please report any incompatibilities in the <a href=""https://www.drupal.org/project/issues/taxonomy_move"">issue queue</a>."
drush_blackfire;"I'm committed to supporting this with Drupal 9. There is no ""Drupal"" code in this module so it mostly needs to be tested and requirements updated so it runs in Drush 10."
tensorflow;"Drupal 9 supported."
termef;"Drupal9 is fully supported"
token_tags;"1.0.0 is Drupal 9 compatible."
token_in_config;"This module is ready for Drupal 9"
dbb;"done in part"
datamaps;"I pledge this module will be written D9 compatability in mind from scratch."
tmgmt_yandex_api;"Drupal 9 ready"
trackmyadmin;"This Module is Compatible with Drupal 9"
media_placeholder;"Compatible with Drupal 9!"
media_unique;"For similar functionality in D9,  <a href=""https://www.drupal.org/project/filehash"">please check the <strong>filehash</strong> module</a>"
tns_gallup;"This module is ready for Drupal 9."
timefield;"Use <a href=""https://www.drupal.org/project/timefield/releases/1.0.x-dev"" title=""Timefield D9"">1.0.x-dev</a> for Drupal 9."
recaptcha_preloader;"Ready for Drupal 9"
timezone_calculator;"This module is Drupal9 Compatible."
tidy_html;"This module is ready for Drupal 9!"
tinglejs;"This Module is Drupal 8 / 9 compatible."
tmgmt_plunet;"Drupal 9 compatible."
readonlydeployment;"Drupal 9 Ready"
tmgmt_motaword;"Our module is compatible with Drupal 8.x and 9.x."
default_content_access;"This project is ready for Drupal 9"
denormalized_webform_filters;"It's Drupal 9 compatible."
tmgmt_content_moderation;"Is Drupal 9 compatible"
entity_taxonomy;"Drupal 9 also support this module"
entity_sync;"We have not reviewed the code with Drupal 9 in mind yet, however, the module is fully written in modern OOP PHP and we don't expect major issues. Follow and contribute to the <a href=""https://www.drupal.org/project/entity_sync/issues/3161127"">Drupal 9 compatibility</a> issue."
liftigniter;"<p>LiftIgniter 8.x-1.x+ supports Drupal 9. Enjoy.</p>"
entity_view_mode_normalize;"Entity View Mode Normalize supports Drupal 9. Enjoy."
static_root_page;"2019-07-31: No drupal-check errors in this module"
studentsdbexample;[#3119081]
eventer;"Working, It may require a clear cache."
eway_commerce2;"This module works with Drupal 9 and Commerce2 out-of-the-box."
sound_management;"This module is Drupal 9 compatible"
essential_node_protection;"Ready for Drupal 9"
stackla_widget;"The module is compatible with Drupal 9"
sponsor;"the 1.0 version is compatible with Drupal 9."
loki;"All versions of this module are fully Drupal 9 compatible."
email_octopus;"Supports Drupal 9, Enjoy!"
login_gauth;"Will Be released before August"
login_time_restriction;"Login Time Restriction is compatible with Drupal 9"
lrn;"This project is only developped/tested for Drupal 9."
link_field_attributes;"Drupal 9 compatible"
request_logger;"Works the same on Drupal 8 and 9."
lock_layout_builder;"Ready to use."
symfony_validator_translator;"This project will be ported to Drupal 9 soon."
entity_copy_reference;"This Project is being worked towards Drupal 9 readiness"
